Uuid,Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:6,_order:134
6aec4047-e68e-48d5-8caf-f06dc84de494,,ANC No,ANC General Information,General Information,Misc,N/A,,
f4ceb855-94ff-44e8-8ece-b05382cc3945,Hypertension ; Cardiac Disease;Tuberclosis ;Sickle-cell Disease ; Kidney Disease ;  Epilepsy(Seizure); Diabetes ; Asthma ; STI ; Operations ;Fracture of Pelvis ;Femur;Spine(Medical History);Not Applicable,,Medical History,,Question,Coded,,
43071f3e-469b-4e5e-b657-e8d12fd6ab13,Hypertension ; Tuberclosis ; Sickle-cell Disease ;Epilepsy; Diabetes ; Twins;Not Applicable,,Past Family History,,Question,Coded,,
89245dc9-9e33-4ef2-a6ae-4a6070594d1f,Smoking ; Health Of The Husband ; Alcohol;Not Applicable,,Social History,,Question,Coded,,
03318456-c6ea-4462-9e26-234d879c7582,,,Blood Transfusion,,Question,Boolean,,
90d0dc2b-0669-4adb-b979-b8dea4af6bab,,Medical History ; Past Family History ;Social History;Blood Transfusion;Reason For Blood Transfusion,Past medical And surgical history,,Misc,N/A,,
9b80e82d-c494-4632-bac7-662269bd7472,Normal ; Heavy,,Amount,,Question,Coded,,
609d59f7-79d1-4748-ad86-57c831dbff60,"Implant ; IUD ; Male sterilization;Female sterilization; Condoms , Male ;Pills (COC,POP and ECP) ; Injection ; Natural Methods;None/Never",,FP Method,,Question,Coded,,
33951822-b0aa-4bd1-b750-710f6f9eefa2,"Implant ; IUD ; Male sterilization;Female sterilization; Condoms , Male ;Pills (COC,POP and ECP) ; Injection ; Natural Methods;None/Never",,"ANC,FP Method",FP Method Used,Question,Coded,,
742ef567-5d90-4abc-b567-44eb8a65a474,,"Number Of Days On Menses ; Amount;ANC,FP Method; Reason For not Using FP;Date Started FP; Reason For Discontinuation ",Menstrual And Contraceptive History,,Misc,N/A,,
f1d88434-62db-417b-81c2-245d7955564c,,,Abortion,,Question,Boolean,,
265fc6c7-4708-48d9-bdbb-55a25dcb2c97,Hospital ; Home ; PHCC ; PHCU ; Private Health Facility,,Place of Delivery,,Question,Coded,,
2ad541e3-3bfd-4bec-832c-31a34034a564,"Caesarean Section ; Delivery Mode, Normal",,Mode Of Delivery,,Question,Coded,,
199fe803-ee9b-4d1e-b488-8a0a8d601e52,Male ; Female,,Sex Of Baby,,Question,Coded,,
94fe1dca-12b3-49bb-9ad4-829eb1c3b99c,,,PPH,,Question,Boolean,,
b97f3df3-a803-4641-9638-d8ff513c7d74,,Para;Gravida;Pregnancy Number ; Age ; Abortion ; Gestation(Weeks) ; Place of Delivery ; Mode Of Delivery ; Sex Of Baby ; Outcome Of Foetus ; APH ; PPH ;Other Illness ; Any Comments,Past Obstetric/Gynecological History,,Misc,N/A,,
453d955f-7755-4230-9a69-caf17a191864,Positive ; Negative ; Not Known,,RPR/VDRL,,Question,Coded,,
2ca63aec-74ea-46ab-bea7-853c9a8e3154,Positive ; Negative,,HIV Sample,,Question,Coded,,
b8539bf4-86dd-42bc-be04-9108f03dad11,Blood Group (A+); Blood Group (A-) ; Blood Group (B+) ; Blood Group (B-) ; Blood Group (O+) ; Blood Group (O-) ; Blood Group (AB+) ; Blood Group (AB-),,Blood Group And Rhesus Factor,,Question,Coded,,
e55c5d38-b971-4d78-a8a0-7cdc35b077c1,Positive ; Negative ; Not Done,,HBV,,Question,Coded,,
83bc2c85-69b5-4cd4-bda0-f6cb8056c4db,,Urine Sample ;HB;RPR/VDRL ; HIV Sample ; HBV;Blood Group And Rhesus Factor ; HEIGHT (CM),Laboratory Investigation,,Misc,N/A,,
872774f5-667c-42a7-95d2-8a7bd2333261,,Date of the first Day of LNMP ; EDD ; Laboratory Investigation,Present Pregnancy,,Misc,N/A,,
4a01c8fe-2b25-420b-ace0-755b840b62ac,1 = First Contact;2 = Second Contact;3 = Third Contact;4 = Fourth Contact;5 = Fifth Contact;6 = Sixth Contact;7 = Seventh Contact;8 = Eight Contact;9 = Ninth Contact,,Visit Number,,Question,Coded,,
cdb44f5d-86cc-452e-b8a1-6034826b1444,,,"Edema, Pregnancy visits",,Question,Boolean,,
d8ea5ef0-4460-4ff3-a0d7-b4381236687f,,"Visit Number ; Date ;Blood Pressure , Pregnancy Visit ;WEIGHT ;   Pulse ; Temperature ; Edema, Pregnancy visits ; MUAC, Pregnancy Visit ; Fundal Height ; Present, Pregnancy Visit ; Fetal Heart ; PV Discharge; TT ; Iron, Pregnancy Visit ; ITN ; IPT/SP ; Remarks ;Provider Name",Maternal Care Information,,Misc,N/A,,
e55439f5-afdd-4dd2-afba-203ea2f2d79f,Home ;Hospital; PHCC ; PHCU ; Private Health Facility ; Other Answer,,Planned Delivery Place,,Question,Coded,,
91d7b8f7-9266-430a-b2e5-8dfe0912ace6,,,Did you Receive a Mama Kit,,Question,Boolean,,
489695bc-c0a0-4c81-88e2-ef66947192e3,Vehicle;Tricycle/Ragsha;Motorbike;Footing;Stretcher;Wheelbarrow;Other Modes Of Transport,,Mode of Getting to Delivery Place,,Question,Coded,,
0528f58d-c4eb-4fc8-9de9-4c9779e1bcfd,,,Do you have clean clothes for the Baby?,,Question,Boolean,,
f3a9a361-fc5d-45c0-85a9-ac1540948f84,,Planned Delivery Place ; Other (Place specify); Delivery Personnel/Person ; Mode of Getting to Delivery Place ; Specify Other Modes Of transport;Did you Receive a Mama Kit; Do you have clean clothes for the Baby?;Who will accompany you to delivery place,Birth Plan Information,,Misc,N/A,,
9e44e0fd-2b24-4d39-ba3a-2d273aee771c,"Caesarean Section ; Delivery Mode, Normal",,"Post Natal,Mode Of Delivery",Mode Of Delivery,Question,Coded,,
7914ba2e-3350-433a-bab3-437bda355659,"Place Deliveted,Home ; Place Deliveted,This Facility ; Place Delivered, Other facility",,"Post Natal ,Place Delivery",Place Of Delivery,Question,Coded,,
4c5db86c-edd8-40ef-8b4f-226ad7f07a43,Male;Female,,"Post Natal,Sex Of the Baby",Sex Of the Baby,Question,Coded,,
95f532cd-0c8e-493d-9d9b-af167c299a46,"Implant ; IUD ; Male sterilization;Female sterilization; Condoms , Male ;Pills (COC,POP and ECP) ; Injection ; Natural Methods;None/Never",,Family Planning Choice,,Question,Coded,,
12d5289d-0d24-409b-961e-59495d47a21c,,"Post Natal,Date Of Delivery;
Post Natal,Mode Of Delivery;
Post Natal ,Place Delivery; Place Delivered, specify ;
Post Natal,Sex Of the Baby;
Post Natal, Weight;
Condition of the Baby (breastfeeding);
Drugs given to the Baby;
Condition of the mother;
Date Vitamin 'A' received by Mother;
Family Planning Choice",Post Natal Care Section,,Misc,N/A,,
71611db1-cd65-4ae1-9d59-537b82fe7289,,ANC General Information;Past medical And surgical history ; Menstrual And Contraceptive History; Past Obstetric/Gynecological History ; Present Pregnancy ; Maternal Care Information ; Birth Plan Information;Post Natal Care Section,ANC CARD FORM,,Misc,N/A,,