Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:200,_version:1
82325788-3f10-11e4-adec-0800271c1b75,yes,givenNameLocal,,java.lang.String,,,,,
8233a58a-3f10-11e4-adec-0800271c1b75,yes,familyNameLocal,,java.lang.String,,,,,
8234e7b0-3f10-11e4-adec-0800271c1b75,yes,middleNameLocal,,java.lang.String,,,,,
3dfdc176-17fd-42b1-b5be-c7e25b78b602,yes,landHolding,,,,,,,
fb3c00b1-81c8-40fe-89e8-6b3344688a13,yes,debt,,,,,,,
47bf1160-3feb-4faa-9301-bd7e66162680,,idNumber,ID Number,java.lang.String,,,,,
09a67440-b78c-4fe3-987b-779db9927e66,,phoneNumber,Phone Number,java.lang.String,,yes,,,
9234695b-0f68-4970-aeb7-3b32d4a2b346,yes,isUrban,,java.lang.Boolean,,,,,
35e98d04-3981-4257-a593-fadd81bfc109,yes,cluster,,java.lang.Concept,,,,,
6f32179b-c6b9-465e-a278-c15da2637630,yes,RationCard,,java.lang.Concept,,,,,
a10fe690-1c44-4ba8-a244-8fe51f9e61f7,yes,familyIncome,,java.lang.Concept,,,,,
d1314f0f-c2d9-4223-88d9-ec4d2827c9da,yes,distanceFromCenter,,java.lang.Float,,,,,
c1f4239f-3f10-11e4-adec-0800271c1b75,yes,caste,,java.lang.String,,,,,
c1f455e7-3f10-11e4-adec-0800271c1b75,yes,class,,java.lang.Concept,,,,,
c1f4a004-3f10-11e4-adec-0800271c1b75,yes,education,,java.lang.Concept,,,,,
c1f7fd17-3f10-11e4-adec-0800271c1b75,yes,primaryContact,,java.lang.String,,,,,
c1f825c9-3f10-11e4-adec-0800271c1b75,yes,secondaryContact,,java.lang.String,,,,,
c1f84df3-3f10-11e4-adec-0800271c1b75,yes,primaryRelative,,java.lang.String,,,,,
c1f8880d-3f10-11e4-adec-0800271c1b75,yes,secondaryIdentifier,,java.lang.String,,,,,
e2715b64-3e11-4f76-911b-dc90f55f095b,,registrationLocation,Registration Location,java.lang.String,,yes,,,